bundle_path	original_reference	original_sha256	bundle_sha256	transformation
c50/normal/build.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/build.meta	sha256:20f25fe2a06979866bb93bbb3d90703ef816e45ff2687d038c9324751b85a0b4	sha256:20f25fe2a06979866bb93bbb3d90703ef816e45ff2687d038c9324751b85a0b4	copied
c50/normal/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/list.meta	sha256:ac18dac1e226051ee9e78a98f01337ba32caae409a996cfa57f2f287ad799783	sha256:ac18dac1e226051ee9e78a98f01337ba32caae409a996cfa57f2f287ad799783	copied
c50/normal/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/list.roots	sha256:316a22803b0245f5a55f99abc5db3707f46135bd8e681fddcbd2516d87f9c9ba	sha256:316a22803b0245f5a55f99abc5db3707f46135bd8e681fddcbd2516d87f9c9ba	copied
c50/normal/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/run.meta	sha256:7afe13d6591fb6f41f482ac10208e455173a84f7ff7cfd825638bd29669ad3a0	sha256:7afe13d6591fb6f41f482ac10208e455173a84f7ff7cfd825638bd29669ad3a0	copied
c50/normal/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/outcomes.actual.tsv	sha256:dc018dbb63ca97f756af875d5ad9128ce2ee9b2ac9e5345f596e0de715a99786	sha256:dc018dbb63ca97f756af875d5ad9128ce2ee9b2ac9e5345f596e0de715a99786	raw-converted-outcomes
c50/normal/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/source.prebody.identity	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	copied
c50/normal/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/source.postbody.identity	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	copied
c50/normal/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/binary.sha256	sha256:1ad14c28eb2f1730befa50a3a30b6587e580dd3b11987f247d56bb5dd40fe125	sha256:43341af7c0484eb882ad3556f3ca042a35562a99577b10c122f8d8bfbbd6ff22	normalized-private-binary-path
c50/race/build.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/build.meta	sha256:9764dc0bbb04e89d96d45e605176ad8a2ce8cadcd2687637b5ed3952f301bd87	sha256:9764dc0bbb04e89d96d45e605176ad8a2ce8cadcd2687637b5ed3952f301bd87	copied
c50/race/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/list.meta	sha256:941edac97582d6af3116f483b834bd61429a21f494fce1c279f21434fe5a23b8	sha256:941edac97582d6af3116f483b834bd61429a21f494fce1c279f21434fe5a23b8	copied
c50/race/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/list.roots	sha256:316a22803b0245f5a55f99abc5db3707f46135bd8e681fddcbd2516d87f9c9ba	sha256:316a22803b0245f5a55f99abc5db3707f46135bd8e681fddcbd2516d87f9c9ba	copied
c50/race/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/run.meta	sha256:d978b40d2976b1befba98df3071c77eb762ccacdd91f0d0c37a6a18325a7eec2	sha256:d978b40d2976b1befba98df3071c77eb762ccacdd91f0d0c37a6a18325a7eec2	copied
c50/race/interrupted.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/interrupted.meta	sha256:5ca5603f9579aa1629f38b8d46df22eda4bf2137e565511e70f432bfd0e338ed	sha256:5ca5603f9579aa1629f38b8d46df22eda4bf2137e565511e70f432bfd0e338ed	copied
c50/race/outcomes.partial.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/outcomes.partial.tsv	sha256:04263312933b1270d5a62b378edf9c502d4da61040f4df1424f8f063f439500b	sha256:04263312933b1270d5a62b378edf9c502d4da61040f4df1424f8f063f439500b	raw-converted-partial-outcomes
c50/race/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/source.prebody.identity	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	sha256:959373d464af210d29a7e44259776c72e9c8e8690dc61c07b9c16b91f8a2da1e	copied
c50/race/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/race/binary.sha256	sha256:65be7ec4ced2b3e6c11d367ff69cbf4c1401fe1c023fe80653e16859585ecbe4	sha256:e14b78f8a7d1940befbdd4064fd5397175ca8e151f2560c77654fb85ee5c0e10	normalized-private-binary-path
c50/normal/failure-excerpt.txt	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-replay-20260914T093947Z/normal/raw/test2json.raw	sha256:5b3999697e4fe329b9198dae809a36f7fb25a4e40447fa9d15e1bfa0e3093c2a	sha256:90073101d452c42e6fe8570d11a959aab0104f689a946e5b17e8a75712158780	sanitized-selected-failure-excerpt
corrected-402/normal/build.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/build.meta	sha256:980280594f9b6ed6887183c4641734f65f40807f1677afad871d4b1dbc1d92ab	sha256:980280594f9b6ed6887183c4641734f65f40807f1677afad871d4b1dbc1d92ab	copied
corrected-402/normal/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/list.meta	sha256:bf93b55bb6aa32c33446e0a3ec8d5ca2902650e97adb3c5c744ec6c0ec903b3c	sha256:bf93b55bb6aa32c33446e0a3ec8d5ca2902650e97adb3c5c744ec6c0ec903b3c	copied
corrected-402/normal/list.roots	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/list.roots	sha256:6165e4a77b061acd241697a1a0e627a87080254c9a73ceca1ac59497c5dbceb7	sha256:6165e4a77b061acd241697a1a0e627a87080254c9a73ceca1ac59497c5dbceb7	copied
corrected-402/normal/run.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/run.meta	sha256:d92c2c6bc18322f239580d1ba1184a8cdd55d48f25d78ceba9c82cb6af6855f9	sha256:d92c2c6bc18322f239580d1ba1184a8cdd55d48f25d78ceba9c82cb6af6855f9	copied
corrected-402/normal/source.prebody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/source.prebody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal/source.postbody.identity	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/source.postbody.identity	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	sha256:c8a43b5ab762d0c6cb6e18e902277c2d4cc23e85fad5278eb2b5ce349e08b00f	copied
corrected-402/normal/binary.sha256	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/binary.sha256	sha256:39182dd2afc65f380f5ef1eec6be960498b9fec6ec9ddf62356445b52a202314	sha256:b9b6997d68d9e7badbfb46bfad848a98df1b241a520913d7b4541ca0f1b23b96	normalized-private-binary-path
corrected-402/normal/outcomes.actual.tsv	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/normal/events.json	sha256:545ac95e2fc9053e113935a0bba77d4acec8763631aadefd6aedceea79f933d9	sha256:6c66c4937e35f8fefc1e6409213e18c1da125b9473edc4bf1d1a0ae4c87c968e	exact-top-level-terminal-outcomes
corrected-402/normal-confirmations/sequence.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/sequence.meta	sha256:5ee4422975f229804373aeaceb29ec9c5af1a457225372e8f41b19f7081cca54	sha256:5ee4422975f229804373aeaceb29ec9c5af1a457225372e8f41b19f7081cca54	copied
corrected-402/normal-confirmations/historical-alias-normal-p2/list.meta	sn-mirror-replay-correction-20260914/terra-runtime/capture-mirror-fixture-20260914T095212Z/confirmations/historical-alias-normal-p2/list.meta	sha256:557423770b6416d999b13eddfedc6e540ebcb15baaf7c4be8a2448a34ec2ab20	sha256:557423770b6416d999b13eddfedc6e540ebcb15baaf7c4be8a2448a34ec2ab20	copied
