root	result
test_dividendTwoStep_detectsCompounding	PASS
test_mirrorExt_rejectsMalformedMappingResponses	PASS
test_moveRoundTrip_slippageFreeAndAttributed	PASS
test_readBattery_allAssumptionsHold	PASS
test_readBattery_failedSelfMappingRetainsOtherChecks	PASS
test_readBattery_missingMappingRetainsOtherChecks	PASS
test_readBattery_missingPrecompile_failsClosedNotReverts	PASS
test_readBattery_rejectsMalformedAbsentUidResponse	PASS
test_readBattery_runtime455RejectsLegacyBlake2f	PASS
test_readBattery_wrongMappingFailsKnownAnswer	PASS
test_readBattery_zeroSelfMappingCannotQueryZeroCustody	PASS
test_referenceBlake2fRejectsChangedKnownAnswer	PASS
test_referenceBlake2fRejectsLongOutput	PASS
test_referenceBlake2fRejectsShortOutput	PASS
test_runtime455MappingPreservesValueCustody	PASS
test_seedFromTao_custodyIsContractColdkey	PASS
test_snapshotRejectsBlockNumberDowncastOverflow	PASS
test_transferOut_recoversDustFromContract	PASS
test_valueBearingChecks_areOwnerGated	PASS
